"Image Name","PID","Session Name","Session#","Mem Usage"
"brave.exe","11620","Console","1","23,612 K"
"svchost.exe","13288","Services","0","20,916 K"
"brave.exe","8284","Console","1","25,304 K"
"brave.exe","13608","Console","1","53,376 K"
"svchost.exe","13332","Services","0","10,116 K"
"svchost.exe","12332","Services","0","27,712 K"
"svchost.exe","10216","Console","1","16,492 K"
"svchost.exe","9992","Services","0","16,076 K"
"svchost.exe","5940","Services","0","16,528 K"
"svchost.exe","12436","Services","0","13,556 K"
"ApplicationFrameHost.exe","7616","Console","1","56,700 K"
"svchost.exe","4280","Console","1","23,916 K"
"svchost.exe","3472","Services","0","9,372 K"
"svchost.exe","6836","Console","1","14,888 K"
"svchost.exe","12056","Services","0","16,544 K"
"QMEmulatorService.exe","6296","Services","0","12,316 K"
"svchost.exe","3972","Services","0","10,632 K"
"brave.exe","9084","Console","1","142,588 K"
"ShellExperienceHost.exe","12204","Console","1","94,128 K"
"WhatsApp.exe","10856","Console","1","587,772 K"
"RuntimeBroker.exe","10172","Console","1","25,960 K"
"svchost.exe","6520","Services","0","9,660 K"
"CnxtNotify.exe","8880","Console","1","46,180 K"
"SystemSettings.exe","16980","Console","1","3,352 K"
"MoNotificationUx.exe","16748","Console","1","13,840 K"
"clion64.exe","13480","Console","1","3,493,912 K"
"Rider.Backend.exe","15700","Console","1","1,081,348 K"
"conhost.exe","16956","Console","1","6,872 K"
"fsnotifier.exe","17196","Console","1","3,944 K"
"conhost.exe","7352","Console","1","6,716 K"
"clangd.exe","16176","Console","1","250,972 K"
"conhost.exe","5080","Console","1","6,728 K"
"clion64.exe","6056","Console","1","77,340 K"
"clion64.exe","16564","Console","1","21,088 K"
"clion64.exe","16064","Console","1","30,736 K"
"clion64.exe","9536","Console","1","68,756 K"
"taskhostw.exe","2660","Console","1","22,492 K"
"full-line-inference.exe","5656","Console","1","376,344 K"
"conhost.exe","15520","Console","1","6,732 K"
"dllhost.exe","3980","Console","1","13,648 K"
"dllhost.exe","18004","Console","1","31,736 K"
"ShellHost.exe","18384","Console","1","51,648 K"
"svchost.exe","8812","Console","1","33,648 K"
"svchost.exe","4924","Services","0","8,996 K"
"brave.exe","15188","Console","1","212,252 K"
"brave.exe","18424","Console","1","58,448 K"
"ctfmon.exe","3572","Console","1","35,504 K"
"svchost.exe","14264","Services","0","8,280 K"
"audiodg.exe","5800","Services","0","33,136 K"
"brave.exe","7032","Console","1","139,068 K"
"brave.exe","19144","Console","1","55,920 K"
"svchost.exe","12552","Services","0","7,764 K"
"HPAudioAnalytics.exe","14968","Services","0","15,724 K"
"svchost.exe","9636","Services","0","8,248 K"
"brave.exe","20436","Console","1","54,792 K"
"msedge.exe","12896","Console","1","128,008 K"
"msedge.exe","7936","Console","1","10,112 K"
"msedge.exe","12200","Console","1","41,292 K"
"msedge.exe","10828","Console","1","37,516 K"
"msedge.exe","372","Console","1","19,628 K"
"msedge.exe","11916","Console","1","96,268 K"
"msedge.exe","14992","Console","1","29,016 K"
"brave.exe","5112","Console","1","52,132 K"
"brave.exe","15952","Console","1","31,828 K"
"brave.exe","6488","Console","1","79,764 K"
"brave.exe","6408","Console","1","103,256 K"
"Widgets.exe","17440","Console","1","63,896 K"
"WidgetService.exe","21364","Console","1","27,356 K"
"msedgewebview2.exe","17576","Console","1","10,976 K"
"msedgewebview2.exe","17244","Console","1","9,792 K"
"msedgewebview2.exe","20144","Console","1","6,536 K"
"msedgewebview2.exe","3096","Console","1","2,264 K"
"msedgewebview2.exe","7232","Console","1","1,824 K"
"msedgewebview2.exe","10908","Console","1","2,632 K"
"Discord.exe","4540","Console","1","141,532 K"
"Discord.exe","13604","Console","1","35,392 K"
"Discord.exe","8344","Console","1","191,784 K"
"Discord.exe","14440","Console","1","56,804 K"
"Discord.exe","12776","Console","1","428,112 K"
"Discord.exe","17776","Console","1","83,144 K"
"svchost.exe","21324","Services","0","8,536 K"
"winpty-agent.exe","17592","Console","1","8,860 K"
"conhost.exe","21012","Console","1","13,868 K"
"c__.exe","16036","Console","1","5,708 K"
"WmiPrvSE.exe","8228","Services","0","14,608 K"
"cmd.exe","17800","Console","1","5,664 K"
"tasklist.exe","2264","Console","1","12,288 K"
