Image Name                              PID        Session Name      Session Number      Memory Usage      
msedgewebview2.exe                      7232       Console           1                   1,824 K           
nvWmi64.exe                             4896       Services          0                   12,940 K          
nvWmi64.exe                             7788       Console           1                   19,540 K          
services.exe                            1028       Services          0                   12,252 K          
sihost.exe                              7176       Console           1                   38,152 K          
smss.exe                                644        Services          0                   1,592 K           
spoolsv.exe                             3524       Services          0                   20,260 K          
svchost.exe                             10216      Console           1                   16,476 K          
svchost.exe                             11224      Services          0                   29,176 K          
svchost.exe                             12056      Services          0                   16,544 K          
svchost.exe                             12332      Services          0                   27,508 K          
svchost.exe                             12436      Services          0                   13,564 K          
svchost.exe                             12552      Services          0                   7,764 K           
svchost.exe                             1272       Services          0                   41,044 K          
svchost.exe                             13288      Services          0                   20,916 K          
svchost.exe                             13332      Services          0                   10,052 K          
svchost.exe                             14264      Services          0                   8,280 K           
svchost.exe                             1428       Services          0                   13,500 K          
svchost.exe                             1432       Services          0                   17,856 K          
svchost.exe                             1484       Services          0                   11,680 K          
svchost.exe                             1652       Services          0                   6,588 K           
svchost.exe                             1668       Services          0                   30,340 K          
svchost.exe                             1700       Services          0                   10,200 K          
svchost.exe                             1708       Services          0                   18,184 K          
svchost.exe                             1728       Services          0                   15,664 K          
svchost.exe                             1804       Services          0                   21,564 K          
svchost.exe                             1908       Services          0                   13,772 K          
svchost.exe                             1916       Services          0                   14,812 K          
svchost.exe                             2008       Services          0                   11,420 K          
svchost.exe                             2032       Services          0                   11,848 K          
svchost.exe                             2040       Services          0                   9,136 K           
svchost.exe                             2068       Services          0                   11,644 K          
svchost.exe                             21272      Services          0                   9,436 K           
svchost.exe                             2176       Services          0                   10,940 K          
svchost.exe                             2248       Services          0                   21,752 K          
svchost.exe                             2268       Services          0                   20,728 K          
svchost.exe                             2288       Services          0                   16,024 K          
svchost.exe                             2576       Services          0                   9,000 K           
svchost.exe                             2692       Services          0                   11,528 K          
svchost.exe                             2720       Services          0                   21,628 K          
svchost.exe                             2800       Services          0                   17,832 K          
svchost.exe                             2808       Services          0                   7,204 K           
svchost.exe                             2816       Services          0                   10,220 K          
svchost.exe                             3156       Services          0                   10,780 K          
svchost.exe                             3164       Services          0                   22,904 K          
svchost.exe                             3172       Services          0                   10,832 K          
svchost.exe                             3324       Services          0                   37,000 K          
svchost.exe                             3332       Services          0                   19,244 K          
svchost.exe                             3472       Services          0                   9,372 K           
svchost.exe                             3492       Services          0                   8,912 K           
svchost.exe                             3584       Services          0                   31,052 K          
svchost.exe                             3596       Services          0                   10,180 K          
svchost.exe                             3604       Services          0                   12,644 K          
svchost.exe                             3716       Services          0                   9,648 K           
svchost.exe                             3768       Services          0                   14,376 K          
svchost.exe                             3944       Services          0                   25,512 K          
svchost.exe                             3972       Services          0                   10,648 K          
svchost.exe                             4004       Services          0                   19,776 K          
svchost.exe                             4020       Services          0                   16,160 K          
svchost.exe                             4116       Services          0                   24,860 K          
svchost.exe                             4144       Services          0                   11,472 K          
svchost.exe                             4264       Services          0                   11,700 K          
svchost.exe                             4280       Console           1                   23,940 K          
svchost.exe                             4328       Services          0                   9,532 K           
svchost.exe                             4392       Services          0                   13,612 K          
svchost.exe                             4780       Services          0                   7,912 K           
svchost.exe                             4792       Services          0                   9,064 K           
svchost.exe                             4808       Services          0                   43,844 K          
svchost.exe                             4836       Services          0                   66,612 K          
